City,Month,Day,Year,AvgTemperature
Brisbane,2,27,1996,72.8
Brisbane,2,28,1996,76.7
Brisbane,2,29,1996,74
Brisbane,3,1,1996,72.4
Brisbane,3,2,1996,73.3
Brisbane,3,3,1996,75.6
Brisbane,3,4,1996,74.7
Brisbane,3,5,1996,72.7
Brisbane,3,6,1996,72.9
Brisbane,3,7,1996,72.7
Brisbane,3,8,1996,72.6
Brisbane,3,9,1996,69.6
Brisbane,3,10,1996,70.2
Brisbane,3,11,1996,70.8
Brisbane,3,12,1996,69.7
Brisbane,3,13,1996,71.5
Brisbane,3,14,1996,71.9
Brisbane,3,15,1996,70.8
Brisbane,3,16,1996,73.8
Brisbane,3,17,1996,77.2
Brisbane,3,18,1996,76
Brisbane,3,19,1996,72.3
Brisbane,3,20,1996,74.6
Brisbane,3,21,1996,75.7
Brisbane,3,22,1996,71.7
Brisbane,3,23,1996,69.3
Brisbane,3,24,1996,71.3
Brisbane,3,25,1996,71.4
Brisbane,3,26,1996,70.4
Brisbane,3,27,1996,71.7
Brisbane,3,28,1996,72.3
Brisbane,3,29,1996,72.3
Brisbane,3,30,1996,69.8
Brisbane,3,31,1996,73.2
Brisbane,4,1,1996,75.2
Brisbane,4,2,1996,71.3
Brisbane,4,3,1996,71
Brisbane,4,4,1996,72.9
Brisbane,4,5,1996,75.5
Brisbane,4,6,1996,70.8
Brisbane,4,7,1996,70.3
Brisbane,4,8,1996,74.5
Brisbane,4,9,1996,72.7
Brisbane,4,10,1996,65
Brisbane,4,11,1996,65.8
Brisbane,4,12,1996,61.2
Brisbane,4,13,1996,66.6
Brisbane,4,14,1996,69.1
Brisbane,4,15,1996,72.1
Brisbane,4,16,1996,69.4
Brisbane,4,17,1996,68.1
Brisbane,4,18,1996,64.3
Brisbane,4,19,1996,65.8
Brisbane,4,20,1996,67.5
Brisbane,4,21,1996,68.5
Brisbane,4,22,1996,71.2
Brisbane,4,23,1996,65.6
Brisbane,4,24,1996,68.4
Brisbane,4,25,1996,72.2
Brisbane,4,26,1996,73.8
Brisbane,4,27,1996,68.5
Brisbane,4,28,1996,68.5
Brisbane,4,29,1996,67.4
Brisbane,4,30,1996,66.6
Brisbane,5,1,1996,65.9
Brisbane,5,2,1996,70.5
Brisbane,5,3,1996,69.9
Brisbane,5,4,1996,70.8
Brisbane,5,5,1996,72.4
Brisbane,5,6,1996,70.9
Brisbane,5,7,1996,69.1
Brisbane,5,8,1996,70
Brisbane,5,9,1996,65.8
Brisbane,5,10,1996,64
Brisbane,5,11,1996,64.2
Brisbane,5,12,1996,65
Brisbane,5,13,1996,68.9
Brisbane,5,14,1996,65.1
Brisbane,5,15,1996,66.3
Brisbane,5,16,1996,65.5
Brisbane,5,17,1996,66.3
Brisbane,5,18,1996,66.1
Brisbane,5,19,1996,65.6
Brisbane,5,20,1996,66.2
Brisbane,5,21,1996,57.1
Brisbane,5,22,1996,58.3
Brisbane,5,23,1996,59.4
Brisbane,5,24,1996,62.1
Brisbane,5,25,1996,64.3
Brisbane,5,26,1996,63.8
Brisbane,5,27,1996,61.6
Brisbane,5,28,1996,61.7
Brisbane,5,29,1996,62
Brisbane,5,30,1996,63.6
Brisbane,5,31,1996,64.3
Brisbane,6,1,1996,64.4
Brisbane,6,2,1996,65.9
Brisbane,6,3,1996,64.6
Brisbane,6,4,1996,63.6
Brisbane,6,5,1996,66.5
Brisbane,6,6,1996,63.7
Brisbane,6,7,1996,65.5
Brisbane,6,8,1996,62.8
Brisbane,6,9,1996,61
Brisbane,6,10,1996,61.7
Brisbane,6,11,1996,61.1
Brisbane,6,12,1996,60.6
Brisbane,6,13,1996,60.7
Brisbane,6,14,1996,59.7
Brisbane,6,15,1996,58.3
Brisbane,6,16,1996,61.3
Brisbane,6,17,1996,58.1
